airline,aircraft_type,raw_data
ЧукотАВИА,DHC6,7 | АД 7DHC-6(АН-24)(АН-26)(МИ-8) | АНАДЫРЬ-МАРКОВО | ЯнварьФевральМартАпрельМайИюньИюльАвгустСентябрьОктябрьНоябрьДекабрь | 20 2703 17 2404 17 24 3107 2107 12 1908 15 19 23 3003 06 10 20 24 2803 07 10 12 14 17 21 3104 08 15 21 25 2901 15 20 2702 10 17 2408 15 | по датам: 49 рейсов | АНЫ 1000 МКО 1200 | 
ЧукотАВИА,DHC6,8 | АД 8DHC-6(АН-24)(АН-26)(МИ-8) | МАРКОВО-АНАДЫРЬ | ЯнварьФевральМартАпрельМайИюньИюльАвгустСентябрьОктябрьНоябрьДекабрь | 20 2703 17 2404 17 24 3107 2107 12 1908 15 19 23 3003 06 10 20 24 2803 07 10 12 14 17 21 3104 08 15 21 25 2901 15 20 2702 10 17 2408 15 | по датам: 49 рейсов | МКО 1230 АНЫ 1430 | 
ЧукотАВИА,DHC6,9 | АД 49DHC-6(МИ-8) | АНАДЫРЬ-ВАЕГИ-МАРКОВО | ЯнварьАпрельИюньИюльАвгустСентябрьОктябрь | 22300416251008 | по датам:7 рейсов | АНЫ 0930 ВГИ 1130ВГИ 1150 МКО 1230 | 
ЧукотАВИА,DHC6,10 | АД 50DHC-6(МИ-8) | МАРКОВО-ВАЕГИ-АНАДЫРЬ | по датам:7 рейсов | МКО 1300 ВГИ 1350 ВГИ 1410   АНЫ 1610 | 
ЧукотАВИА,MI8_VILLAGES,1 | АД 31МИ-8 | Анадырь – Усть Белая –Снежное – Окружной – Анадырь | ЯнварьФевральМартАпрельМайИюньИюльАвгустСентябрьОктябрьНоябрьДекабрь | 15 2609 2006 2307 21 2805 2910 26312001 18 2907 15 2709 20 2708 21 | по датам: 26 рейсов | АНЫ 0930 УБЛ 1100/1120СЖЕ 1145/1205ОЖН1340/ 1350 АНЫ 1410
ЧукотАВИА,MI8_VILLAGES,2 | АД 31АМИ-8 | Анадырь – Усть Белая – Окружной – Анадырь | МайИюньИюльАвгустСентябрь | 14 2104 1802 09 2306 10 2810 24 | по датам: 12 рейсов | АНЫ 0930 УБЛ 1100/1120ОЖН 1245/1255 АНЫ 1315
ЧукотАВИА,MI8_VILLAGES,3 | АД 31ВМИ-8 | Анадырь – Снежное – Окружной – Анадырь | МайИюльАвгустСентябрь | 1901 13257 | по датам: 5 рейсов | АНЫ 0930 СЖЕ 1105/1125ОЖН 1300/1310 АНЫ 1330
ЧукотАВИА,MI8_VILLAGES,4 | АД 33МИ-8 | Анадырь – Канчалан – Краснено – Окружной – Анадырь | ФевральМартАпрельМайИюньИюльОктябрьНоябрьДекабрь | 0512090703 2917020610 | по датам: 10 рейсов | АНЫ 0930 КНЧ 1015/1035КОЙ 1115/1135ОЖН 1225/1235 АНЫ 1255
ЧукотАВИА,MI8_VILLAGES,5 | АД 33АМИ-8 | Анадырь – Краснено – Канчалан – Окружной – Анадырь | ЯнварьСентябрь | 2204 | по датам: 2 рейса | АНЫ 0930 КОЙ 1020/1040КНЧ 1120/1140ОЖН 1225/1235 АНЫ 1255
ЧукотАВИА,MI8_VILLAGES,6 | АД 33ВМИ-8 | Анадырь – Канчалан – Окружной – Анадырь | МайИюньСентябрьОктябрь | 2211 192114 | по датам: 5 рейсов | АНЫ 0930 КНЧ 1015/1035ОЖН 1120/1130 АНЫ 1150
ЧукотАВИА,MI8_VILLAGES,7 | АД 75МИ-8 | Анадырь – Хатырка – Окружной – Анадырь | ЯнварьФевральМартАпрельМайИюньИюльАвгустСентябрьОктябрьНоябрьДекабрь | 2003030113 2609 16 2307 2404 18 2608191715 | по датам: 18 рейсов | АНЫ 0930 ХЫК 1135/1155ОЖН 1350/1400 АНЫ 1420
ЧукотАВИА,MI8_VILLAGES,8 | АД 77МИ-8 | Анадырь – Мейныпильгыно-Окружной – Анадырь | ЯнварьФевральМартАпрельМайИюньИюльАвгустСентябрьОктябрьНоябрьДекабрь | 16 2925251306 2808 17 24 3008 21 2707 1903 2201 282422 | по датам: 22 рейса | АНЫ 0930 МЕЙ 1115/1135ОЖН 1310/1320 АНЫ 1340
ЧукотАВИА,MI8_VILLAGES,9 | АД 15МИ-8(DHC-6)(АН-24)(АН-26) | Анадырь – Беринговский | МайИюньИюльАвгустСентябрьОктябрьНоябрь | 08 15 20 2703 11 19 26 2903 09 13 22 3105 13 18 21 2802 09 18 23 3008 16 22 2902 18 25 | по датам:31рейсов | АНЫ 0945 БНГ 1120
ЧукотАВИА,MI8_VILLAGES,МартАпрельМайИюньИюльАвгустСентябрьОктябрьНоябрь | 1723180115 2811151310 30 | по датам:11рейсов | АНЫ 0930 БНГ 1105
ЧукотАВИА,MI8_VILLAGES,10 | АД 16МИ-8(DHC-6)(АН-24)(АН-26) | Беринговский-Анадырь | МайИюньИюльАвгустСентябрьОктябрьНоябрь | 08 15 20 2703 11 19 26 2903 09 13 22 3105 13 18 21 2802 09 18 23 3008 16 22 2902 18 25 | по датам: 31 рейс | БНГ 1150 АНЫ 1325
ЧукотАВИА,MI8_VILLAGES,11 | АД 35МИ-8 | Беринговский – Мейныпильгыно – Хатырка – Беринговский | МартИюньИюльСентябрьНоябрь | 170115 281510 | по датам: 6 рейсов | БНГ1135 МЕЙ1230/1250ХЫК 1340/1400 БНГ 1530
ЧукотАВИА,MI8_VILLAGES,12 | АД 35АМИ-8 | Беринговский – Хатырка – Мейныпильгыно –   Беринговский | АпрельМайАвгустОктябрьНоябрь | 2318111330 | по датам:5рейсов | БНГ1135 ХЫК 1305/1325МЕЙ 1415/1435 БНГ 1530
ЧукотАВИА,MI8_VILLAGES,13 | АД 16АМИ-8 | Беринговский – Окружной – Анадырь | МартАпрельМайИюньИюльАвгустСентябрьОктябрьНоябрь | 1723180115 2811151310 30 | по датам:11рейсов | БНГ1550 ОЖН 1715/1725 АНЫ 1745
ЧукотАВИА,MI8_VILLAGES,14 | АД79МИ-8 | Анадырь – Алькатваам – Окружной – Анадырь | ИюньИюльАвгустСентябрь | 15102411 | по датам: 4 рейса | АНЫ 0930 АЬТ 1055/1115ОЖН 1225/12235АНЫ 1255
ЧукотАВИА,MI8_VILLAGES,15 | АД 53МИ-8 | Анадырь – Мыс Шмидта | ЯнварьФевральМартАпрельМайИюньИюльАвгустСентябрьОктябрьНоябрьДекабрь | 1902020612 2505 2206 2003 17 3114 2812 261614 | по датам: 19 рейсов | АНЫ 0930 МШД 1230
ЧукотАВИА,MI8_VILLAGES,16 | АД 54МИ-8 | Мыс Шмидта – Анадырь | по датам: 19 рейсов | МШД 1300 АНЫ 1600
ЧукотАВИА,MI8_VILLAGES,17 | АД 7МИ-8(DHC-6)(АН-24)(АН-26) | Анадырь – Марково | ЯнварьФевральМартАпрельМайИюньИюльАвгустСентябрьОктябрьНоябрьДекабрь | 131010140402 2514 302717060301 25 28 | по датам: 16 рейсов | АНЫ 0930 МКО 1135
ЧукотАВИА,MI8_VILLAGES,18 | АД 8МИ-8(DHC-6)(АН-24)(АН-26) | Марково-Анадырь | Январь | 14 | по датам: 1 рейс | МКО 1100АНЫ 1255
ЧукотАВИА,MI8_VILLAGES,ФевральМартАпрельМайИюньИюль АвгустСентябрьОктябрьНоябрьДекабрь | 1010140402 2514 302717060301 | по датам: 13 рейсов | МКО 1545АНЫ 1750
ЧукотАВИА,MI8_VILLAGES,Декабрь | 25 28 | по датам: 2 рейса | МКО 1515АНЫ 1720
ЧукотАВИА,MI8_VILLAGES,19 | АД 51МИ-8(DHC-6) | Марково-Чуванское-Ламутское-Марково | ЯнварьФевральМартАпрельМайИюньИюльАвгустСентябрьОктябрьНоябрьДекабрь | 131010140402 2514 302717060301 | по датам: 14 рейсов | МКО 1205 ЧУВ 1305/ 1325 ЛМТ1345/ 1405 МКО 1515
ЧукотАВИА,MI8_VILLAGES,20 | АД 9МИ-8(DHC-6) | Марково-Ламутское | ЯнварьДекабрь | 1328 | по датам: 2 рейса | МКО 1205 ЛМТ 1315
ЧукотАВИА,MI8_VILLAGES,21 | АД 10МИ-8(DHC-6) | Ламутское-Марково | по датам:2 рейса | ЛМТ1335 МКО 1445
ЧукотАВИА,MI8_VILLAGES,22 | АД 17МИ-8 | Марково-Чуванское | ЯнварьДекабрь | 1325 | по датам: 2 рейса | МКО 1205 ЧУВ 1305
ЧукотАВИА,MI8_VILLAGES,23 | АД 18МИ-8 | Чуванское- Марково | по датам: 2 рейса | ЧУВ 1325 МКО 1425
ЧукотАВИА,MI8_VILLAGES,24 | АД 57МИ-8 | Эгвекинот –МысШмидта | ЯнварьДекабрь----------------ФевральМартАпрельМайИюньИюльАвгустСентябрьОктябрьНоябрь | 14091111152003 1601 15 2912 2609 2207 1911 | по датам: 18 рейсов | ЭГТ 0900 МШД 1100------------------------------------ЭГТ 1000 МШД 1200
ЧукотАВИА,MI8_VILLAGES,25 | АД 58МИ-8 | МысШмидта – Эгвекинот | ЯнварьДекабрь----------------ФевральМартАпрельМайИюньИюльАвгустСентябрьОктябрьНоябрь | 14091111152003 1601 15 2912 2609 2207 1911 | по датам: 18 рейсов | МШД 1130 ЭГТ 1330------------------------------------МШД 1230 ЭГТ1430
ЧукотАВИА,MI8_VILLAGES,26 | АД 37МИ-8 | Эгвекинот – Нутэпэльмен – Ванкарем – Эгвекинот | ФевральАпрельМайИюньИюльАвгустСентябрьОктябрь----------Декабрь | 020612090603 31283014 | по датам: 10 рейсов | ЭГТ 1000 НУТ 1145/1205 ВРЧ 1240/1300 ЭГТ 1440------------------------------------ЭГТ 0900 НУТ 1045/1105ВРЧ 1140/1200 ЭГТ 1340
ЧукотАВИА,MI8_VILLAGES,27 | АД 37АМИ-8 | Эгвекинот – Ванкарем – Нутэпэльмен – Эгвекинот | Январь-----------ФевральМайИюньИюльАвгустСентябрьОктябрьНоябрь | 122725222117141223 | по датам: 9 рейсов | ЭГТ 0900 ВРЧ 1040/1100 НУТ 1135/1155 ЭГТ 1340------------------------------------ЭГТ 1000 ВРЧ 1140/1200 НУТ 1235/1255 ЭГТ 1440
ЧукотАВИА,MI8_VILLAGES,28 | АД 39МИ-8 | Эгвекинот – Уэлькаль – Конергино – Эгвекинот | Январь---------МартАпрельМайИюльАвгустСентябрьОктябрьНоябрь | 150516210206 27242226 | по датам: 10 рейсов | ЭГТ 0900 УЭЛ 0950/1010КОИ 1045/1105 ЭГТ 1140------------------------------------ЭГТ 1000 УЭЛ 1050/1110КОИ 1145/1205 ЭГТ 1240
ЧукотАВИА,MI8_VILLAGES,29 | АД 39СМИ-8 | Эгвекинот – Конергино – Уэлькаль – Эгвекинот | ЯнварьФевральМартМайИюньИюльСентябрьОктябрьНоябрь----------Декабрь | 29172606041607080510 24 | по датам: 11 рейсов | ЭГТ 1000 КОИ 1035/1055УЭЛ 1130/1150 ЭГТ1240------------------------------------ЭГТ 0900 КОИ 0935/0955УЭЛ 1030/1050 ЭГТ 1140
ЧукотАВИА,MI8_VILLAGES,30 | АД 39АМИ-8 | Эгвекинот – Уэлькаль | Июнь | 18 | по датам: 1 рейс | ЭГТ 1000 УЭЛ 1050
ЧукотАВИА,MI8_VILLAGES,31 | АД 40АМИ-8 | Уэлькаль – Эгвекинот | по датам: 1 рейс | УЭЛ 1110 ЭГТ 1200
ЧукотАВИА,MI8_VILLAGES,32 | АД 39ВМИ-8 | Эгвекинот – Конергино | Июнь | 18 | по датам: 1 рейс | ЭГТ 1230 КОИ 1305
ЧукотАВИА,MI8_VILLAGES,33 | АД 40ВМИ-8 | Конергино – Эгвекинот | по датам: 1 рейс | КОИ 1325 ЭГТ 1400
ЧукотАВИА,MI8_VILLAGES,34 | АД 81МИ-8 | Эгвекинот – Нешкан – Энурмино – Лаврентия | МайАвгуст | 2224 | по датам: 2 рейса | ЭГТ 1000 НЕШ 1215/1235ЭНР 1310/1330 ЗЛА 1440
ЧукотАВИА,MI8_VILLAGES,35 | АД 83МИ-8(DHC-6)(АН-24)(АН-26) | Эгвекинот – Лаврентия | ЯнварьДекабрь-----------ФевральМартАпрельМайИюньИюльАвгустСентябрьОктябрьНоябрь | 2107030201 2827242219020109 | по датам: 13 рейсов | ЭГТ 0900 ЗЛА 1130------------------------------------ЭГТ 1000 ЗЛА 1230
ЧукотАВИА,MI8_VILLAGES,36 | АД 84МИ-8(DHC-6)(АН-24)(АН-26) | Лаврентия – Эгвекинот | ЯнварьДекабрь-----------ФевральМартАпрельМайИюньИюльАвгустСентябрьОктябрьНоябрь | 2107030201 2827242219020109 | по датам: 13 рейсов | ЗЛА 1200 ЭГТ 1430------------------------------------ЗЛА 1300 ЭГТ 1530
ЧукотАВИА,MI8_VILLAGES,МайАвгуст | 2224 | по датам: 2 рейса | ЗЛА 1510 ЭГТ 1740
ЧукотАВИА,MI8_VILLAGES,37 | АД 85МИ-8(DHC-6)(АН-24)(АН-26) | Эгвекинот – Провидения | ЯнварьДекабрь-----------ФевральМартАпрельСентябрьОктябрьНоябрь | 1316101008092118 | по датам: 8 рейсов | ЭГТ 0900 ПРД 1125------------------------------------ЭГТ 1000 ПРД 1225
ЧукотАВИА,MI8_VILLAGES,38 | АД 86МИ-8(DHC-6)(АН-24)(АН-26) | Провидения – Эгвекинот | ЯнварьДекабрь-----------ФевральМартАпрельСентябрьОктябрьНоябрь | 1316101008092118 | по датам: 8 рейсов | ПРД 1155 ЭГТ 1420----------------------------------ПРД 1255 ЭГТ 1520
ЧукотАВИА,MI8_VILLAGES,39 | АД 91МИ-8 | Эгвекинот – Энмелен – Нунлигран – Провидения | МайИюньИюльАвгуст | 28150828 | по датам: 4 рейса | ЭГТ 1000 ЭНМ 1125/1145НУГ 1215/1235 ПРД 1330
ЧукотАВИА,MI8_VILLAGES,40 | АД 92МИ-8 | Провидения – Нунлигран – Энмелен – Эгвекинот | по датам: 4 рейса | ПРД 1400 НУГ 1455/1515 ЭНМ 1545/1605 ЭГТ 1730
ЧукотАВИА,MI8_VILLAGES,41 | АД 73МИ-8 | Лаврентия – Янракыннот – Сиреники – Провидения | ЯнварьДекабрь-----------ФевральМартАпрельМайИюньИюльАвгустСентябрьОктябрьНоябрь | 13 271409 2409 2306 2004 1801 15 2913 2710 2407 2105 1903 16 30 | по датам: 25 рейсов | ЗЛА 0900 ЯНА 0945/1005 СИК 1050/1110 ПРД 1140------------------------------------ЗЛА 1000 ЯНА 1045 /1105 СИК 1150/1210 ПРД 1240
ЧукотАВИА,MI8_VILLAGES,42 | АД 73АМИ-8(DHC-6)(АН-24)(АН-26) | Лаврентия – Провидения | Август | 31 | по датам: 1 рейс | ЗЛА 1000 ПРД 1120
ЧукотАВИА,MI8_VILLAGES,43 | АД 74АМИ-8(DHC-6)(АН-24)(АН-26) | Провидения – Лаврентия | Август | 31 | по датам: 1 рейс | ПРД 1150 ЗЛА 1310
ЧукотАВИА,MI8_VILLAGES,44 | АД 41МИ-8 | Лаврентия – Уэлен – Инчоун – Лаврентия | ЯнварьДекабрь-----------ФевральМартАпрельМайИюньСентябрьОктябрьНоябрь | 2008 2403 1703 17 3114 27120815 2913 2710 24 | по датам: 18 рейсов | ЗЛА 0900 УЭН 0945/1005 ИНЧ 1035/1055 ЗЛА 1140------------------------------------ЗЛА 1000 УЭН 1045/1105 ИНЧ 1135/1155 ЗЛА 1240
ЧукотАВИА,MI8_VILLAGES,45 | АД 41СМИ-8 | Лаврентия – Инчоун – Уэлен – Лаврентия | При необходимости изменения последовательности маршрута   рейса АД 41 | ЗЛА 1000 ИНЧ 1045/1105 УЭН 1135/1155 ЗЛА 1240
ЧукотАВИА,MI8_VILLAGES,46 | АД 41АМИ-8 | Лаврентия – Уэлен | МайИюньИюльАвгустСентябрь | 262307 2104 1801 | по датам: 7 рейсов | ЗЛА 1000 УЭН 1045
ЧукотАВИА,MI8_VILLAGES,47 | АД 42АМИ-8 | Уэлен – Лаврентия | по датам: 7 рейсов | УЭН 1105 ЗЛА 1150
ЧукотАВИА,MI8_VILLAGES,48 | АД 41ВМИ-8 | Лаврентия – Инчоун | МайИюньИюльАвгустСентябрь | 262307 2104 1801 | по датам: 7 рейсов | ЗЛА 1200 ИНЧ 1245
ЧукотАВИА,MI8_VILLAGES,49 | АД 42ВМИ-8 | Инчоун – Лаврентия | по датам: 7 рейсов | ИНЧ 1305 ЗЛА 1350
ЧукотАВИА,MI8_VILLAGES,50 | АД 43МИ-8 | Лаврентия – Энурмино – Нешкан – Лаврентия | ЯнварьДекабрь-----------ФевральМартАпрельМайИюньСентябрьОктябрьНоябрь | 2211 2305 1905 1902 16 2814251701 15 2812 26 | по датам: 18рейсов | ЗЛА 0900 ЭНР 1010/1030НЕШ 1105/1125 ЗЛА 1245------------------------------------ЗЛА 1000 ЭНР 1110/1130 НЕШ 1205/1225 ЗЛА 1345
ЧукотАВИА,MI8_VILLAGES,51 | АД 43СМИ-8 | Лаврентия – Нешкан – Энурмино – Лаврентия | При необходимости изменения последовательности маршрута   рейса АД 43 | ЗЛА 1000 НЕШ 1120/1140 ЭНР 1215/1235 ЗЛА 1345
ЧукотАВИА,MI8_VILLAGES,52 | АД 43АМИ-8 | Лаврентия – Энурмино | МайИюньИюльАвгустСентябрь | 281009 2306 2003 | по датам: 7 рейсов | ЗЛА 1000 ЭНР 1110
ЧукотАВИА,MI8_VILLAGES,53 | АД 44АМИ-8 | Энурмино – Лаврентия | по датам: 7 рейсов | ЭНР 1130 ЗЛА 1240
ЧукотАВИА,MI8_VILLAGES,54 | АД 43ВМИ-8 | Лаврентия – Нешкан | МайИюньИюльАвгустСентябрь | 281009 2306 2003 | по датам: 7 рейсов | ЗЛА 1310 НЕШ 1430
ЧукотАВИА,MI8_VILLAGES,55 | АД 44ВМИ-8 | Нешкан – Лаврентия | по датам: 7 рейсов | НЕШ 1450 ЗЛА 1610
ЧукотАВИА,MI8_VILLAGES,56 | АД 45МИ-8 | Провидения –Нунлигран– Энмелен | ЯнварьДекабрь-----------ФевральМартАпрельМайИюньИюльАвгустСентябрьОктябрьНоябрь | 14 2802 1611 2511 2508 22050315 292609 2307 2105 18 | по датам: 21 рейс | ПРД 0900 НУГ 0955/1015ЭНМ 1045----------------------------------ПРД 1000 НУГ1055/1115 ЭНМ 1145
ЧукотАВИА,MI8_VILLAGES,57 | АД 46МИ-8 | Энмелен –Нунлигран – Провидения | ЯнварьДекабрь-----------ФевральМартАпрельМайИюньИюльАвгустСентябрьОктябрьНоябрь | 14 2802 1611 2511 2508 22050315 292609 2307 2105 18 | по датам: 21 рейс | ЭНМ 1105 НУГ 1135/1155 ПРД 1250------------------------------------ЭНМ 1205 НУГ 1235/1255 ПРД 1350
ЧукотАВИА,MI8_VILLAGES,58 | АД 45АМИ-8 | Провидения – Нунлигран | МайИюньИюльАвгуст | 20170112 | по датам: 4 рейса | ПРД 1000 НУГ 1055
ЧукотАВИА,MI8_VILLAGES,59 | АД 46АМИ-8 | Нунлигран – Провидения | по датам: 4 рейса | НУГ 1115 ПРД 1210
ЧукотАВИА,MI8_VILLAGES,60 | АД 45ВМИ- | Провидения – Энмелен | МайИюньИюльАвгуст | 21180212 | по датам: 4 рейса | ПРД 1240 ЭНМ 1350
ЧукотАВИА,MI8_VILLAGES,61 | АД 46ВМИ- | Энмелен – Провидения | по датам: 4 рейса | ЭНМ 1410 ПРД 1520
ЧукотАВИА,MI8_VILLAGES,62 | АД 74МИ-8 | Провидения – Сиреники – Янракыннот – Лаврентия | ЯнварьДекабрь-----------ФевральМартАпрельМайИюньИюльАвгустСентябрьОктябрьНоябрь | 15 2904 1812 2612 2609 2306 2104 1802 16 3013 2710 2408 2206 19 | по датам: 25 рейсов | ПРД 0900 СИК 0930/0950 ЯНА 1035/1055 ЗЛА 1150------------------------------------ПРД 1000 СИК 1030/1050 ЯНА 1135/1155 ЗЛА 1250
ЧукотАВИА,MI8_VILLAGES,63 | АД 74ВМИ-8 | Провидения – Сиреники – Янракыннот – Провидения | При необходимости изменения последовательности   маршрута рейса АД 74 | ПРД 1000 СИК 1030/1050 ЯНА 1135/1155 ПРД 1250
ЧукотАВИА,MI8_VILLAGES,64 | АД 59МИ-8 | Певек – Биллингс | ЯнварьФевральМартАпрельМайИюньИюльАвгустСентябрьОктябрьНоябрьДекабрь | 141111152016151209071123 | по датам: 12 рейсов | ПЕВ 1000 БИЛ 1125
ЧукотАВИА,MI8_VILLAGES,65 | АД 60МИ-8 | Биллингс – Певек | по датам: 12 рейсов | БИЛ 1145 ПЕВ 1310
ЧукотАВИА,MI8_VILLAGES,66 | АД 61МИ-8 | Певек – Айон | ЯнварьФевральМартАпрельМайИюньИюльАвгустСентябрьОктябрьНоябрьДекабрь | 131010141902 17 301411 250806 202522 | по датам: 16 рейсов | ПЕВ 1000 АЙО 1055
ЧукотАВИА,MI8_VILLAGES,67 | АД 62МИ-8 | Айон – Певек | по датам: 16 рейсов | АЙО 1115 ПЕВ 1210
ЧукотАВИА,MI8_VILLAGES,68 | АД 63МИ-8 | Певек – Рыткучи | МайИюньИюльАвгустСентябрьОктябрьНоябрьДекабрь | 1902 17 3014 2811 2508 2206 2010 2508 | по датам: 15 рейсов | ПЕВ 1000 УЧН 1055
ЧукотАВИА,MI8_VILLAGES,69 | АД 64МИ-8 | Рыткучи – Певек | по датам: 15 рейсов | УЧН 1115 ПЕВ 1210
ЧукотАВИА,MI8_VILLAGES,70 | АД 47МИ-8 | Певек – Мыс Шмидта | Август | 26 | по датам: 1 рейс | ПЕВ 1000 МШД 1235
ЧукотАВИА,MI8_VILLAGES,71 | АД 48МИ-8 | Мыс Шмидта – Певек | по датам: 1 рейс | МШД 1255 ПЕВ 1550
